DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,CEDRAL,Amazônia,0.0,0.0,0.9,-1.93263,-44.58009,5.8
2021/12/02 16:22:00,AQUA_M-T,Brasil,MARANHÃO,GRAJAÚ,Cerrado,2,0.3,0.1,-5.70399,-45.76534,115.6
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,CENTRO NOVO DO MARANHÃO,Amazônia,2,6.8,0.4,-2.33112,-46.30834,9.5
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,VIANA,Amazônia,4,0.0,1.0,-3.11292,-45.11932,13.7
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,MATA ROMA,Cerrado,4,0.0,0.7,-3.525,-43.19223,8.8
2021/12/02 16:22:00,AQUA_M-T,Brasil,MARANHÃO,GRAJAÚ,Cerrado,2,0.3,0.2,-5.70427,-45.77386,189.4
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,VARGEM GRANDE,Cerrado,4,0.7,0.6,-3.55333,-43.84197,9.4
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,SÃO BENEDITO DO RIO PRETO,Cerrado,5,0.1,0.6,-3.59184,-43.59871,67.8
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,SÃO BENEDITO DO RIO PRETO,Cerrado,5,0.1,0.6,-3.59327,-43.60893,264.5
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,SÃO BENEDITO DO RIO PRETO,Cerrado,5,0.1,0.6,-3.59471,-43.61911,32.8
2021/12/02 16:22:00,AQUA_M-T,Brasil,MARANHÃO,GRAJAÚ,Cerrado,2,0.3,0.2,-5.70611,-45.78039,59.7
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,NINA RODRIGUES,Cerrado,5,0.1,0.6,-3.60426,-43.61779,19.3
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,VIANA,Amazônia,4,0.0,1.0,-3.11837,-45.2323,16.1
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,CHAPADINHA,Cerrado,5,0.2,1.0,-3.65051,-43.60081,18.0
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,CHAPADINHA,Cerrado,5,0.2,1.0,-3.65346,-43.59486,18.2
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,CHAPADINHA,Cerrado,5,0.2,0.8,-3.65488,-43.60502,13.0
2021/12/02 16:22:00,AQUA_M-T,Brasil,MARANHÃO,GRAJAÚ,Cerrado,2,0.1,0.2,-5.75818,-46.0008,12.2
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,BREJO,Cerrado,2,0.0,0.8,-3.66052,-42.98319,16.3
2021/12/02 16:22:00,AQUA_M-T,Brasil,MARANHÃO,GRAJAÚ,Cerrado,2,0.0,0.4,-5.76029,-46.01646,15.5
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,ALCÂNTARA,Amazônia,0.0,0.0,0.9,-2.34194,-44.51431,7.5
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,PEDRO DO ROSÁRIO,Amazônia,4,0.1,1.0,-3.12033,-45.32187,32.1
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,BREJO,Cerrado,4,0.0,0.7,-3.77694,-42.8926,27.1
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,BREJO,Cerrado,4,0.0,0.8,-3.77829,-42.90213,44.6
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,CHAPADINHA,Cerrado,5,3.3,0.3,-3.81644,-43.67996,201.4
2021/12/02 16:22:00,AQUA_M-T,Brasil,MARANHÃO,GRAJAÚ,Cerrado,2,0.3,0.1,-5.95908,-45.62075,38.8
